9.96 GB/s
10.77 GB/s
10.87 GB/s
10.52 GB/s
10.07 GB/s
10.66 GB/s
10.87 GB/s
10.86 GB/s
10.81 GB/s
10.91 GB/s
10.80 GB/s
10.91 GB/s
11.12 GB/s
11.05 GB/s
11.13 GB/s
10.55 GB/s
10.86 GB/s
10.70 GB/s
10.87 GB/s
10.68 GB/s
10.89 GB/s
11.01 GB/s
11.01 GB/s
11.02 GB/s
10.15 GB/s
11.05 GB/s
10.97 GB/s
11.02 GB/s
10.91 GB/s
11.02 GB/s
10.80 GB/s
11.02 GB/s
10.97 GB/s
10.64 GB/s
11.00 GB/s
10.44 GB/s
10.61 GB/s
10.86 GB/s
10.36 GB/s
10.34 GB/s
10.60 GB/s
10.47 GB/s
10.01 GB/s
9.48 GB/s
9.79 GB/s
10.27 GB/s
10.65 GB/s
10.32 GB/s
10.45 GB/s
10.65 GB/s
10.33 GB/s
10.83 GB/s
10.23 GB/s
10.99 GB/s
11.04 GB/s
10.92 GB/s
10.49 GB/s
10.89 GB/s
10.81 GB/s
10.75 GB/s
10.38 GB/s
10.38 GB/s
10.80 GB/s
10.36 GB/s
9.96 GB/s
10.10 GB/s
10.63 GB/s
10.66 GB/s
9.84 GB/s
10.68 GB/s
10.65 GB/s
10.80 GB/s
10.70 GB/s
10.46 GB/s
9.08 GB/s
10.36 GB/s
9.92 GB/s
10.25 GB/s
10.57 GB/s
10.73 GB/s
10.71 GB/s
10.28 GB/s
10.56 GB/s
11.03 GB/s
10.86 GB/s
10.81 GB/s
11.03 GB/s
10.99 GB/s
10.93 GB/s
10.94 GB/s
10.53 GB/s
10.48 GB/s
10.80 GB/s
10.78 GB/s
10.79 GB/s
10.47 GB/s
10.28 GB/s
10.72 GB/s
10.48 GB/s
10.48 GB/s
