Array Size(2^n Bytes),Stride Size(Bytes),Latency(ns)
28.000000, 1024, 11.44
28.000000, 2048, 25.28
28.000000, 4096, 37.67
28.000000, 8192, 35.38
28.000000, 16384, 73.22
28.000000, 32768, 50.67
28.000000, 65536, 46.13
28.000000, 131072, 44.69
28.000000, 262144, 43.92
28.000000, 524288, 32.59
28.000000, 1048576, 17.25

29.000000, 128, 11.30
29.000000, 256, 18.59
29.000000, 512, 32.25
29.000000, 1024, 12.15
29.000000, 2048, 27.85
29.000000, 4096, 54.62
29.000000, 8192, 58.55
29.000000, 16384, 118.86
29.000000, 32768, 106.71
29.000000, 65536, 54.79
29.000000, 131072, 46.49
29.000000, 262144, 44.51
29.000000, 524288, 35.52
29.000000, 1048576, 27.55

30.000000, 128, 52.83
30.000000, 256, 57.19
30.000000, 512, 71.18
30.000000, 1024, 28.58
30.000000, 2048, 257.80
30.000000, 4096, 78.80
30.000000, 8192, 89.55
30.000000, 16384, 185.35
30.000000, 32768, 161.84
30.000000, 65536, 91.86
30.000000, 131072, 51.29
30.000000, 262144, 48.85
30.000000, 524288, 46.81
30.000000, 1048576, 35.18

31.000000, 128, 46.21
31.000000, 256, 64.96
31.000000, 512, 144.77
31.000000, 1024, 282.87
31.000000, 2048, 593.71
31.000000, 4096, 1119.42
31.000000, 8192, 1461.26
31.000000, 16384, 1435.20
31.000000, 32768, 249.26
31.000000, 65536, 107.91
31.000000, 131072, 81.40
31.000000, 262144, 49.46
31.000000, 524288, 46.86
31.000000, 1048576, 46.42

32.000000, 128, 32.95
32.000000, 256, 73.61
32.000000, 512, 133.43
32.000000, 1024, 233.38
32.000000, 2048, 585.87
32.000000, 4096, 1155.71
32.000000, 8192, 2141.11
32.000000, 16384, 4518.40
32.000000, 32768, 5362.32
32.000000, 65536, 363.73
32.000000, 131072, 130.00
32.000000, 262144, 75.15
32.000000, 524288, 89.45
32.000000, 1048576, 74.60

