8.28 GB/s
8.09 GB/s
8.74 GB/s
8.42 GB/s
8.81 GB/s
8.62 GB/s
8.28 GB/s
8.48 GB/s
8.44 GB/s
7.94 GB/s
8.44 GB/s
8.79 GB/s
8.33 GB/s
7.77 GB/s
7.83 GB/s
7.86 GB/s
8.23 GB/s
8.35 GB/s
8.34 GB/s
8.51 GB/s
7.99 GB/s
8.51 GB/s
8.79 GB/s
8.59 GB/s
8.86 GB/s
8.80 GB/s
8.60 GB/s
8.67 GB/s
7.94 GB/s
7.95 GB/s
7.97 GB/s
8.30 GB/s
8.23 GB/s
8.68 GB/s
8.17 GB/s
7.96 GB/s
8.45 GB/s
8.12 GB/s
8.00 GB/s
8.28 GB/s
8.27 GB/s
8.54 GB/s
8.78 GB/s
8.88 GB/s
8.63 GB/s
8.81 GB/s
8.81 GB/s
8.90 GB/s
8.76 GB/s
8.87 GB/s
8.77 GB/s
8.73 GB/s
8.77 GB/s
8.43 GB/s
8.22 GB/s
8.51 GB/s
8.64 GB/s
8.85 GB/s
8.18 GB/s
8.37 GB/s
8.46 GB/s
8.67 GB/s
8.75 GB/s
8.70 GB/s
8.78 GB/s
7.94 GB/s
7.88 GB/s
8.68 GB/s
8.74 GB/s
8.69 GB/s
8.38 GB/s
8.21 GB/s
8.62 GB/s
8.26 GB/s
8.39 GB/s
8.50 GB/s
8.17 GB/s
8.26 GB/s
8.05 GB/s
8.12 GB/s
8.57 GB/s
7.84 GB/s
8.44 GB/s
8.13 GB/s
8.45 GB/s
8.59 GB/s
8.25 GB/s
8.76 GB/s
7.19 GB/s
7.94 GB/s
7.75 GB/s
8.03 GB/s
8.35 GB/s
8.51 GB/s
8.74 GB/s
8.80 GB/s
8.53 GB/s
8.62 GB/s
7.38 GB/s
7.36 GB/s
