0.88 GB/s
0.91 GB/s
0.90 GB/s
0.86 GB/s
0.85 GB/s
0.90 GB/s
0.89 GB/s
0.88 GB/s
0.89 GB/s
0.94 GB/s
0.88 GB/s
0.87 GB/s
0.89 GB/s
0.91 GB/s
0.94 GB/s
0.93 GB/s
0.92 GB/s
0.91 GB/s
0.93 GB/s
0.97 GB/s
0.85 GB/s
0.92 GB/s
0.89 GB/s
0.94 GB/s
0.91 GB/s
0.90 GB/s
0.94 GB/s
0.87 GB/s
0.91 GB/s
0.87 GB/s
0.98 GB/s
0.87 GB/s
0.84 GB/s
0.81 GB/s
0.88 GB/s
0.88 GB/s
0.90 GB/s
0.88 GB/s
0.92 GB/s
0.89 GB/s
0.90 GB/s
0.90 GB/s
0.90 GB/s
0.89 GB/s
0.92 GB/s
0.90 GB/s
0.89 GB/s
0.91 GB/s
0.91 GB/s
0.87 GB/s
0.89 GB/s
0.88 GB/s
0.89 GB/s
0.90 GB/s
0.91 GB/s
0.92 GB/s
0.91 GB/s
0.92 GB/s
0.86 GB/s
0.93 GB/s
0.89 GB/s
0.92 GB/s
0.88 GB/s
0.90 GB/s
0.89 GB/s
0.84 GB/s
0.90 GB/s
0.89 GB/s
0.90 GB/s
0.90 GB/s
0.87 GB/s
0.86 GB/s
0.89 GB/s
0.91 GB/s
0.91 GB/s
0.90 GB/s
0.88 GB/s
0.92 GB/s
0.89 GB/s
0.91 GB/s
0.89 GB/s
0.89 GB/s
0.90 GB/s
0.90 GB/s
0.91 GB/s
0.91 GB/s
0.89 GB/s
0.90 GB/s
0.91 GB/s
0.89 GB/s
0.90 GB/s
0.88 GB/s
0.90 GB/s
0.90 GB/s
0.87 GB/s
0.90 GB/s
0.89 GB/s
0.89 GB/s
0.92 GB/s
0.90 GB/s
