1.05 GB/s
1.03 GB/s
1.06 GB/s
1.05 GB/s
1.08 GB/s
1.03 GB/s
1.06 GB/s
1.06 GB/s
1.01 GB/s
1.00 GB/s
1.07 GB/s
0.99 GB/s
1.00 GB/s
1.00 GB/s
0.97 GB/s
1.02 GB/s
1.01 GB/s
0.95 GB/s
0.90 GB/s
1.01 GB/s
1.06 GB/s
1.03 GB/s
1.03 GB/s
1.05 GB/s
1.06 GB/s
1.04 GB/s
1.06 GB/s
1.09 GB/s
1.03 GB/s
1.00 GB/s
1.00 GB/s
1.08 GB/s
1.02 GB/s
1.07 GB/s
1.05 GB/s
1.08 GB/s
1.05 GB/s
1.08 GB/s
1.10 GB/s
1.04 GB/s
1.05 GB/s
1.09 GB/s
1.03 GB/s
1.02 GB/s
1.01 GB/s
1.00 GB/s
0.97 GB/s
1.02 GB/s
1.09 GB/s
1.08 GB/s
1.06 GB/s
1.09 GB/s
1.04 GB/s
1.07 GB/s
0.95 GB/s
1.01 GB/s
1.02 GB/s
1.04 GB/s
1.05 GB/s
1.09 GB/s
1.06 GB/s
1.06 GB/s
0.99 GB/s
0.96 GB/s
0.99 GB/s
1.01 GB/s
0.88 GB/s
0.93 GB/s
0.94 GB/s
0.92 GB/s
0.97 GB/s
1.05 GB/s
1.03 GB/s
1.01 GB/s
1.03 GB/s
0.98 GB/s
0.96 GB/s
0.99 GB/s
0.96 GB/s
1.03 GB/s
1.04 GB/s
1.07 GB/s
1.04 GB/s
1.07 GB/s
0.99 GB/s
1.06 GB/s
1.03 GB/s
1.03 GB/s
1.04 GB/s
1.01 GB/s
1.07 GB/s
1.07 GB/s
0.99 GB/s
1.08 GB/s
1.08 GB/s
1.08 GB/s
1.05 GB/s
0.99 GB/s
0.97 GB/s
1.01 GB/s
