9.99 GB/s
10.74 GB/s
9.94 GB/s
10.47 GB/s
10.61 GB/s
10.89 GB/s
10.90 GB/s
10.92 GB/s
10.46 GB/s
10.99 GB/s
10.82 GB/s
10.06 GB/s
10.89 GB/s
10.62 GB/s
10.30 GB/s
10.35 GB/s
9.38 GB/s
9.97 GB/s
10.00 GB/s
10.84 GB/s
9.31 GB/s
10.36 GB/s
10.06 GB/s
10.38 GB/s
10.24 GB/s
9.70 GB/s
9.89 GB/s
10.22 GB/s
9.96 GB/s
10.92 GB/s
10.10 GB/s
10.22 GB/s
10.46 GB/s
10.46 GB/s
10.30 GB/s
10.50 GB/s
10.88 GB/s
10.57 GB/s
9.47 GB/s
10.15 GB/s
10.92 GB/s
10.13 GB/s
10.65 GB/s
10.42 GB/s
10.93 GB/s
10.47 GB/s
10.44 GB/s
10.57 GB/s
10.69 GB/s
9.63 GB/s
10.20 GB/s
10.60 GB/s
10.85 GB/s
9.60 GB/s
9.58 GB/s
9.97 GB/s
9.78 GB/s
10.41 GB/s
10.52 GB/s
9.05 GB/s
10.46 GB/s
9.66 GB/s
10.61 GB/s
10.37 GB/s
9.90 GB/s
9.92 GB/s
10.12 GB/s
10.33 GB/s
10.30 GB/s
10.14 GB/s
10.20 GB/s
10.07 GB/s
9.61 GB/s
9.85 GB/s
10.26 GB/s
8.73 GB/s
8.72 GB/s
9.97 GB/s
9.07 GB/s
9.63 GB/s
8.92 GB/s
10.45 GB/s
10.89 GB/s
8.98 GB/s
10.90 GB/s
10.52 GB/s
10.30 GB/s
10.64 GB/s
8.84 GB/s
9.30 GB/s
10.58 GB/s
10.81 GB/s
10.68 GB/s
10.27 GB/s
10.40 GB/s
10.27 GB/s
10.44 GB/s
10.19 GB/s
9.74 GB/s
9.75 GB/s
