iteration, time(ns), inside/outside
0, 167537.06, outside
1, 165030.73, outside
2, 174562.30, outside
3, 174311.13, outside
4, 175229.92, outside
5, 175476.65, outside
6, 180140.47, outside
7, 173124.13, outside
8, 173847.92, outside
9, 177786.50, outside
0, 56942.77, inside
1, 58862.60, inside
2, 57925.05, inside
3, 56975.87, inside
4, 60033.89, inside
5, 57357.58, inside
6, 58129.58, inside
7, 59670.96, inside
8, 56505.88, inside
9, 60817.47, inside
